Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%),Cluster,Cluster_Selected,PCA1,PCA2
594,90.0,91.0,88.0,90.0,3,0.0,0.0,740,650,1.0,0.0,0,7,6,4.279143388236088,-2.95429702247282
591,91.0,93.0,88.0,90.0,0,1.0,1.09,819,763,2.0,0.0,0,1,1,5.786776133455338,-1.076942019140136
564,85.0,87.0,83.0,84.0,0,1.0,1.17,544,404,2.0,0.0,0,1,8,5.03884080365647,-0.6209245534134252
546,88.0,90.0,86.0,88.0,3,0.0,0.0,633,496,2.0,0.0,0,7,6,4.473293503581753,-2.9151468004366983
542,87.0,89.0,84.0,88.0,2,1.0,1.14,704,572,2.0,0.0,0,1,8,5.33180061095271,-0.7987306404665985
535,88.0,90.0,86.0,87.0,0,1.0,1.13,620,495,2.0,0.0,0,1,8,5.430178641773755,-0.8581869837188726
516,80.0,81.0,79.0,81.0,2,1.0,1.25,386,245,1.0,0.0,0,8,8,4.029652730508395,-0.1716325132732778
390,50.0,50.0,50.0,50.0,3,0.0,0.0,428,214,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
387,50.0,50.0,50.0,50.0,3,0.0,0.0,815,494,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
377,50.0,50.0,50.0,50.0,3,0.0,0.0,116,674,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
374,50.0,50.0,50.0,50.0,3,0.0,0.0,271,99,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
438,50.0,50.0,50.0,50.0,3,0.0,0.0,656,410,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
435,50.0,50.0,50.0,50.0,3,0.0,0.0,266,79,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
429,50.0,50.0,50.0,50.0,3,0.0,0.0,341,127,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
426,50.0,50.0,50.0,50.0,3,0.0,0.0,801,490,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
422,50.0,50.0,50.0,50.0,3,0.0,0.0,299,92,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
400,50.0,50.0,50.0,50.0,3,0.0,0.0,593,368,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
372,50.0,50.0,50.0,50.0,3,0.0,0.0,375,150,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
65,50.0,50.0,50.0,50.0,3,0.0,0.0,23,710,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
59,50.0,50.0,50.0,50.0,3,0.0,0.0,559,250,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
55,50.0,50.0,50.0,50.0,3,0.0,0.0,416,172,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
52,50.0,50.0,50.0,50.0,3,0.0,0.0,755,479,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
48,50.0,51.0,50.0,50.0,3,0.0,0.0,210,771,1.0,0.0,0,5,0,-1.054010753426924,-0.28243417715692853
